===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
68,,68,2020-03-08 00:00:00,8885.25,8886.76,8000.0,8033.31,77537.315166,,SMACross,68,737492.0,Broker,68,10211.576879438375,10211.576879438375,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2020-03-09 00:00:00,8034.76,8179.31,7632.01,7929.87,116968.863268,,SMACross,69,737493.0,Broker,69,10211.576879438375,10211.576879438375,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2020-03-10 00:00:00,7929.87,8149.0,7728.01,7894.56,86783.443875,,SMACross,70,737494.0,Broker,70,10211.576879438375,10211.576879438375,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2020-03-11 00:00:00,7894.57,7980.0,7590.0,7934.52,79942.411172,,SMACross,71,737495.0,Broker,71,10211.576879438375,10211.576879438375,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2020-03-12 00:00:00,7934.58,7966.17,4410.0,4800.0,261505.608653,,SMACross,72,737496.0,Broker,72,10211.576879438375,10211.576879438375,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2020-03-13 00:00:00,4800.01,5955.0,3782.13,5578.6,402201.673764,,SMACross,73,737497.0,Broker,73,10211.576879438375,10211.576879438375,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2020-03-14 00:00:00,5576.05,5640.52,5055.13,5172.06,136910.135974,,SMACross,74,737498.0,Broker,74,10211.576879438375,10211.576879438375,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2020-03-15 00:00:00,5172.48,5940.0,5093.1,5361.3,139916.146534,,SMACross,75,737499.0,Broker,75,10211.576879438375,10211.576879438375,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2020-03-16 00:00:00,5360.33,5365.42,4442.12,5028.97,227276.92276,,SMACross,76,737500.0,Broker,76,10211.576879438375,10211.576879438375,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2020-03-17 00:00:00,5028.86,5525.0,4921.45,5312.64,150089.926318,,SMACross,77,737501.0,Broker,77,10211.576879438375,10211.576879438375,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2020-03-18 00:00:00,5312.64,5436.17,5009.37,5393.04,137127.634894,,SMACross,78,737502.0,Broker,78,10211.576879438375,10211.576879438375,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2020-03-19 00:00:00,5393.26,6400.0,5252.53,6162.37,199020.873439,,SMACross,79,737503.0,Broker,79,10211.576879438375,10211.576879438375,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2020-03-20 00:00:00,6162.05,6900.0,5670.0,6208.36,219298.329514,,SMACross,80,737504.0,Broker,80,10211.576879438375,10211.576879438375,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2020-03-21 00:00:00,6204.57,6456.98,5860.02,6186.98,128913.668363,,SMACross,81,737505.0,Broker,81,10211.576879438375,10211.576879438375,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2020-03-22 00:00:00,6187.04,6407.87,5734.01,5816.19,119115.990527,,SMACross,82,737506.0,Broker,82,10211.576879438375,10211.576879438375,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2020-03-23 00:00:00,5816.05,6600.0,5688.0,6467.31,164674.215785,,SMACross,83,737507.0,Broker,83,10211.576879438375,10211.576879438375,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2020-03-24 00:00:00,6465.25,6833.0,6371.33,6744.72,151138.009878,,SMACross,84,737508.0,Broker,84,95.22964402880649,10638.327862945596,BuySell,84,6275.76005,,Trades - Net Profit/Loss,84,,
85,,85,2020-03-25 00:00:00,6744.69,6957.96,6450.0,6677.43,132155.734989,,SMACross,85,737509.0,Broker,85,95.22964402880649,10533.142610014278,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2020-03-26 00:00:00,6677.42,6780.0,6510.0,6737.36,83026.555211,,SMACross,86,737510.0,Broker,86,95.22964402880649,10626.822981661977,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2020-03-27 00:00:00,6737.27,6842.59,6261.0,6359.11,82914.968354,,SMACross,87,737511.0,Broker,87,95.22964402880649,10035.556494497905,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2020-03-28 00:00:00,6359.11,6360.0,6024.0,6236.65,93159.693429,,SMACross,88,737512.0,Broker,88,95.22964402880649,9844.131526836009,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2020-03-29 00:00:00,6236.65,6266.0,5866.56,5881.42,63311.627714,,SMACross,89,737513.0,Broker,89,95.22964402880649,9288.84905694759,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2020-03-30 00:00:00,5880.5,6599.0,5857.76,6394.38,118889.549992,,SMACross,90,737514.0,Broker,90,95.22964402880649,10090.689261192623,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2020-03-31 00:00:00,6394.45,6523.23,6321.4,6410.44,72337.595259,,SMACross,91,737515.0,Broker,91,95.22964402880649,10115.793662471817,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2020-04-01 00:00:00,6412.14,6679.94,6150.11,6642.92,97500.7524,,SMACross,92,737516.0,Broker,92,95.22964402880649,10479.197847365152,BuySell,92,,,Trades - Net Profit/Loss,92,,
===============================================================================
Cerebro:
  -----------------------------------------------------------------------------
  - Datas:
    +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
    - Data0:
      - Name: 
      - Timeframe: Days
      - Compression: 1
  -----------------------------------------------------------------------------
  - Strategies:
